date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:35:27	106830/106830	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:20:39%20GMT	https://template.annimexweb.com/optimal/elements-titles.html	D:/project/ecommerce/template.annimexweb.com/optimal/elements-titles.html	(from https://template.annimexweb.com/optimal/)
06:35:28	285278/285278	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:20:25%20GMT	https://template.annimexweb.com/optimal/elements-banner-styles.html	D:/project/ecommerce/template.annimexweb.com/optimal/elements-banner-styles.html	(from https://template.annimexweb.com/optimal/)
06:35:28	145239/145239	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:20:38%20GMT	https://template.annimexweb.com/optimal/elements-testimonial.html	D:/project/ecommerce/template.annimexweb.com/optimal/elements-testimonial.html	(from https://template.annimexweb.com/optimal/)
06:35:28	139739/139739	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:20:24%20GMT	https://template.annimexweb.com/optimal/elements-accordions.html	D:/project/ecommerce/template.annimexweb.com/optimal/elements-accordions.html	(from https://template.annimexweb.com/optimal/)
06:35:28	232678/232678	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:20:32%20GMT	https://template.annimexweb.com/optimal/elements-icons.html	D:/project/ecommerce/template.annimexweb.com/optimal/elements-icons.html	(from https://template.annimexweb.com/optimal/)
06:35:29	125849/125849	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:20:26%20GMT	https://template.annimexweb.com/optimal/elements-blog-posts.html	D:/project/ecommerce/template.annimexweb.com/optimal/elements-blog-posts.html	(from https://template.annimexweb.com/optimal/)
06:35:29	204817/204817	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:20:35%20GMT	https://template.annimexweb.com/optimal/elements-product.html	D:/project/ecommerce/template.annimexweb.com/optimal/elements-product.html	(from https://template.annimexweb.com/optimal/)
06:35:29	882400/882400	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:20:36%20GMT	https://template.annimexweb.com/optimal/elements-product-tab.html	D:/project/ecommerce/template.annimexweb.com/optimal/elements-product-tab.html	(from https://template.annimexweb.com/optimal/)
06:35:30	118938/118938	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:20:40%20GMT	https://template.annimexweb.com/optimal/elements-top-info-bar.html	D:/project/ecommerce/template.annimexweb.com/optimal/elements-top-info-bar.html	(from https://template.annimexweb.com/optimal/)
06:35:30	125535/125535	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:20:41%20GMT	https://template.annimexweb.com/optimal/elements-top-promo-bar.html	D:/project/ecommerce/template.annimexweb.com/optimal/elements-top-promo-bar.html	(from https://template.annimexweb.com/optimal/)
06:35:30	8433/8433	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Jul%202022%2010:28:43%20GMT	https://template.annimexweb.com/optimal/assets/images/megamenu/megamenu-store.png	D:/project/ecommerce/template.annimexweb.com/optimal/assets/images/megamenu/megamenu-store.png	(from https://template.annimexweb.com/optimal/)
06:35:30	3739/3739	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Jul%202022%2010:28:40%20GMT	https://template.annimexweb.com/optimal/assets/images/megamenu/megamenu-elements.png	D:/project/ecommerce/template.annimexweb.com/optimal/assets/images/megamenu/megamenu-elements.png	(from https://template.annimexweb.com/optimal/)
06:35:31	3739/3739	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Jul%202022%2010:28:42%20GMT	https://template.annimexweb.com/optimal/assets/images/megamenu/megamenu-pages.png	D:/project/ecommerce/template.annimexweb.com/optimal/assets/images/megamenu/megamenu-pages.png	(from https://template.annimexweb.com/optimal/)
06:35:31	3432/3432	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Jul%202022%2010:28:40%20GMT	https://template.annimexweb.com/optimal/assets/images/megamenu/megamenu-fast.png	D:/project/ecommerce/template.annimexweb.com/optimal/assets/images/megamenu/megamenu-fast.png	(from https://template.annimexweb.com/optimal/)
06:35:31	98817/98817	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:19:54%20GMT	https://template.annimexweb.com/optimal/aboutus-style1.html	D:/project/ecommerce/template.annimexweb.com/optimal/aboutus-style1.html	(from https://template.annimexweb.com/optimal/)
06:35:32	106384/106384	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:19:54%20GMT	https://template.annimexweb.com/optimal/aboutus-style2.html	D:/project/ecommerce/template.annimexweb.com/optimal/aboutus-style2.html	(from https://template.annimexweb.com/optimal/)
06:35:32	104763/104763	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:19:56%20GMT	https://template.annimexweb.com/optimal/aboutus-style3.html	D:/project/ecommerce/template.annimexweb.com/optimal/aboutus-style3.html	(from https://template.annimexweb.com/optimal/)
06:35:32	96991/96991	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:20:22%20GMT	https://template.annimexweb.com/optimal/contact-style1.html	D:/project/ecommerce/template.annimexweb.com/optimal/contact-style1.html	(from https://template.annimexweb.com/optimal/)
06:35:33	101675/101675	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:20:23%20GMT	https://template.annimexweb.com/optimal/contact-style2.html	D:/project/ecommerce/template.annimexweb.com/optimal/contact-style2.html	(from https://template.annimexweb.com/optimal/)
06:35:33	97478/97478	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:20%20GMT	https://template.annimexweb.com/optimal/lookbook-2columns.html	D:/project/ecommerce/template.annimexweb.com/optimal/lookbook-2columns.html	(from https://template.annimexweb.com/optimal/)
06:35:33	99764/99764	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:20%20GMT	https://template.annimexweb.com/optimal/lookbook-3columns.html	D:/project/ecommerce/template.annimexweb.com/optimal/lookbook-3columns.html	(from https://template.annimexweb.com/optimal/)
06:35:33	102434/102434	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:22%20GMT	https://template.annimexweb.com/optimal/lookbook-4columns.html	D:/project/ecommerce/template.annimexweb.com/optimal/lookbook-4columns.html	(from https://template.annimexweb.com/optimal/)
06:35:34	102433/102433	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:22%20GMT	https://template.annimexweb.com/optimal/lookbook-5columns.html	D:/project/ecommerce/template.annimexweb.com/optimal/lookbook-5columns.html	(from https://template.annimexweb.com/optimal/)
